Altium Designer Pick and Place Locations
F:\Desktop\PWR_Supply\Project Outputs for PWR_Supply\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       01/07/20
Time:       16:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R17","Res2","TopLayer","0603","60.8394","19.8112","360","Resistor"
"R16","Res2","TopLayer","0603","34.4674","20.1362","360","Resistor"
"R15","Res2","TopLayer","0603","43.0594","63.7425","360","Resistor"
"R14","Res2","TopLayer","0603","73.6664","63.8721","360","Resistor"
"R13","Res2","TopLayer","0603","9.7091","63.5373","360","Resistor"
"D7","LED0","TopLayer","0603","65.7924","19.8112","360","Typical INFRARED GaAs LED"
"D6","LED0","TopLayer","0603","38.9124","20.1346","360","Typical INFRARED GaAs LED"
"D5","LED0","TopLayer","0603","48.7744","63.7409","360","Typical INFRARED GaAs LED"
"D4","LED0","TopLayer","0603","82.1119","63.8834","360","Typical INFRARED GaAs LED"
"D3","LED0","TopLayer","0603","17.7864","63.5373","360","Typical INFRARED GaAs LED"
"P32","Header 2","TopLayer","GH1.25_2P","45.4040","4.0130","360","Header, 2-Pin"
"P38","Header 2","TopLayer","XT30_LI","64.8210","10.7950","270","Header, 2-Pin"
"P37","Header 2","TopLayer","XT30_LI","56.0580","7.8105","360","Header, 2-Pin"
"P36","Header 2","TopLayer","XT30_LI","56.0580","14.8590","360","Header, 2-Pin"
"P35","Header 2","TopLayer","XT30_LI","38.4810","11.2280","270","Header, 2-Pin"
"P34","Header 2","TopLayer","XT30_LI","29.4640","8.2435","360","Header, 2-Pin"
"P33","Header 2","TopLayer","XT30_LI","29.4640","15.2920","360","Header, 2-Pin"
"P31","Header 2","TopLayer","XT30_LI","32.0040","48.8496","360","Header, 2-Pin"
"P30","Header 2","TopLayer","XT30_LI","46.0375","48.8496","360","Header, 2-Pin"
"P29","Header 2","TopLayer","XT30_LI","60.0710","48.8496","360","Header, 2-Pin"
"P16","Header 2","TopLayer","TX60-LI-S","36.1950","57.6580","360","Header, 2-Pin"
"P14","Header 2","TopLayer","XT30_LI","76.9620","32.8658","360","Header, 2-Pin"
"P13","Header 2","TopLayer","XT30_LI","76.9620","40.9847","360","Header, 2-Pin"
"P12","Header 2","TopLayer","XT30_LI","76.9620","49.1036","360","Header, 2-Pin"
"P11","Header 2","TopLayer","XT30_LI","76.9620","8.5090","360","Header, 2-Pin"
"P10","Header 2","TopLayer","XT30_LI","76.9620","16.6279","360","Header, 2-Pin"
"P9","Header 2","TopLayer","XT30_LI","76.9620","24.7468","360","Header, 2-Pin"
"P8","Header 2","TopLayer","XT30_LI","15.3670","16.5009","360","Header, 2-Pin"
"P7","Header 2","TopLayer","XT30_LI","15.3670","48.9766","360","Header, 2-Pin"
"P6","Header 2","TopLayer","XT30_LI","15.3670","24.6198","360","Header, 2-Pin"
"P5","Header 2","TopLayer","XT30_LI","15.3670","32.7388","360","Header, 2-Pin"
"P4","Header 2","TopLayer","XT30_LI","15.3670","8.3820","360","Header, 2-Pin"
"P3","Header 2","TopLayer","XT30_LI","15.3670","40.8577","360","Header, 2-Pin"
"P15","Header 2","TopLayer","TX60-LI-S","55.3720","57.6580","360","Header, 2-Pin"
"U*1","MP1584","TopLayer","MP1584EN_SOIC8E","31.5706","39.1160","180",""
"U*2","MP1584","TopLayer","MP1584EN_SOIC8E","56.1340","38.6080","180",""
"R12","Res2","TopLayer","0603","62.2237","36.3546","180","Resistor"
"R11","Res2","TopLayer","0603","62.2237","37.9103","180","Resistor"
"R10","Res2","TopLayer","0603","65.1447","39.4661","180","Resistor"
"R9","Res2","TopLayer","0603","50.7191","39.2438","180","Resistor"
"R8","Res2","TopLayer","0603","62.2237","41.0218","180","Resistor"
"R7","Res2","TopLayer","0603","61.5180","43.3134","90","Resistor"
"R6","Res2","TopLayer","0603","37.0252","36.5451","180","Resistor"
"R5","Res2","TopLayer","0603","37.0252","38.0373","180","Resistor"
"R4","Res2","TopLayer","0603","39.9462","39.4994","180","Resistor"
"R3","Res2","TopLayer","0603","25.7747","39.7518","180","Resistor"
"R2","Res2","TopLayer","0603","37.0252","41.0218","180","Resistor"
"R1","Res2","TopLayer","0603","36.3339","43.1864","90","Resistor"
"P28","Header 2","TopLayer","GH1.25_2P","85.2680","24.6811","90","Header, 2-Pin"
"P27","Header 2","TopLayer","GH1.25_2P","85.2680","16.5901","90","Header, 2-Pin"
"P26","Header 2","TopLayer","GH1.25_2P","85.2680","8.4990","90","Header, 2-Pin"
"P25","Header 2","TopLayer","GH1.25_2P","85.2680","48.9543","90","Header, 2-Pin"
"P24","Header 2","TopLayer","GH1.25_2P","85.2680","40.8633","90","Header, 2-Pin"
"P23","Header 2","TopLayer","GH1.25_2P","85.2680","32.7722","90","Header, 2-Pin"
"P22","Header 2","TopLayer","GH1.25_2P","4.6480","32.6452","270","Header, 2-Pin"
"P21","Header 2","TopLayer","GH1.25_2P","4.6480","40.7363","270","Header, 2-Pin"
"P20","Header 2","TopLayer","GH1.25_2P","4.6480","48.8273","270","Header, 2-Pin"
"P19","Header 2","TopLayer","GH1.25_2P","4.6480","8.3720","270","Header, 2-Pin"
"P18","Header 2","TopLayer","GH1.25_2P","4.6480","16.4631","270","Header, 2-Pin"
"P17","Header 2","TopLayer","GH1.25_2P","4.6480","24.5541","270","Header, 2-Pin"
"P2","Header 2","TopLayer","TX60-LI-S","78.5690","57.6580","360","Header, 2-Pin"
"P1","Header 2","TopLayer","TX60-LI-S","12.8710","57.6580","360","Header, 2-Pin"
"L2","Inductor","TopLayer","JSHC0650H220M","60.5790","29.0830","270","Inductor"
"L1","Inductor","TopLayer","JSHC0650H220M","36.4490","28.9560","270","Inductor"
"D2","D Schottky","TopLayer","LC-SMB(DO-214AA)_S2","52.1970","30.9880","180","Schottky Diode"
"D1","D Schottky","TopLayer","LC-SMB(DO-214AA)_S2","28.1416","31.4960","180","Schottky Diode"
"C12","Cap","TopLayer","0603","52.3304","21.0812","360","Capacitor"
"C11","Cap Pol3","TopLayer","CAP_RVT1E220M0505","52.4040","25.4000","180","Polarized Capacitor (Surface Mount)"
"C10","Cap","TopLayer","0603","53.8417","34.5448","180","Capacitor"
"C9","Cap","TopLayer","0603","62.2237","34.7988","180","Capacitor"
"C8","Cap","TopLayer","0603","51.4358","37.0904","90","Capacitor"
"C7","Cap","TopLayer","0603","62.2237","39.4661","180","Capacitor"
"C6","Cap","TopLayer","0603","28.3274","20.1922","360","Capacitor"
"C5","Cap Pol3","TopLayer","CAP_RVT1E220M0505","28.2686","24.8920","180","Polarized Capacitor (Surface Mount)"
"C4","Cap","TopLayer","0603","29.2782","35.0528","180","Capacitor"
"C3","Cap","TopLayer","0603","37.0252","35.0528","180","Capacitor"
"C2","Cap","TopLayer","0603","26.4914","37.5984","90","Capacitor"
"C1","Cap","TopLayer","0603","37.0252","39.5296","180","Capacitor"
