Altium Designer Pick and Place Locations
D:\GitWS\git-repository\ee\PCB\PowerModul\V3\PowerModul\Project Outputs for PowerModul\Pick Place for PowerModul.csv

========================================================================================================================
File Design Information:

Date:       16/07/20
Time:       21:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R1","4.7R","TopLayer","0402_R","8878.543","3671.669","90","贴片电阻"
"D1","BAS516","TopLayer","SOD-523_L1.2-W0.8-LS1.6-RD","8828.543","3676.669","270","二极管"
"","Comment","TopLayer","WTR_LOGO","0.000","0.000","90",""
"R6","4.7R","TopLayer","0402_R","9338.937","3415.491","270","贴片电阻"
"D6","BAS516","TopLayer","SOD-523_L1.2-W0.8-LS1.6-RD","9293.937","3402.223","90","二极管"
"H40","2P","TopLayer","TX60PW-M20","10006.744","2250.921","90",""
"H39","2P","TopLayer","TX60PW-M20","7123.977","2276.669","270",""
"H38","2P","TopLayer","TX60PW-M20","8538.543","4541.669","180",""
"H37","2P","TopLayer","TX60-LI-P","9373.543","1666.669","180",""
"H36","2P","TopLayer","TX60-LI-P","10123.543","1666.669","360",""
"H35","2P","TopLayer","TX60-LI-P","10123.543","2856.669","360",""
"H34","2P","TopLayer","TX60-LI-P","9371.811","2856.669","180",""
"H33","2P","TopLayer","TX60-LI-P","9373.543","2056.669","180",""
"H32","2P","TopLayer","TX60-LI-P","9373.543","2446.669","180",""
"H31","2P","TopLayer","GH1.25-S-2P","8237.598","2066.669","90",""
"H30","2P","TopLayer","GH1.25-S-2P","8823.543","2866.669","90",""
"H29","2P","TopLayer","GH1.25-S-2P","8583.543","1266.669","360",""
"H28","2P","TopLayer","GH1.25-S-2P","6841.043","3226.669","270",""
"H27","2P","TopLayer","GH1.25-S-2P","10257.598","3228.049","90",""
"H26","2P","TopLayer","GH1.25-S-2P","8237.598","2866.669","90",""
"H25","2P","TopLayer","GH1.25-S-2P","8237.598","1666.669","90",""
"H24","2P","TopLayer","TX60-LI-P","7753.977","2866.669","360",""
"H23","2P","TopLayer","TX60-LI-P","7753.977","2456.669","360",""
